fdate,number of customers without power,county,state,fips
2024-02-03 00:00:00,11,Alameda County,CA,06001
2024-02-03 01:00:00,11,Alameda County,CA,06001
2024-02-03 02:00:00,11,Alameda County,CA,06001
2024-02-03 03:00:00,11,Alameda County,CA,06001
2024-02-03 04:00:00,0,Alameda County,CA,06001
2024-02-03 05:00:00,0,Alameda County,CA,06001
2024-02-03 06:00:00,0,Alameda County,CA,06001
2024-02-03 07:00:00,0,Alameda County,CA,06001
2024-02-03 08:00:00,0,Alameda County,CA,06001
2024-02-03 09:00:00,0,Alameda County,CA,06001
2024-02-03 10:00:00,10,Alameda County,CA,06001
2024-02-03 11:00:00,1,Alameda County,CA,06001
2024-02-03 12:00:00,1,Alameda County,CA,06001
2024-02-03 13:00:00,249,Alameda County,CA,06001
2024-02-03 14:00:00,1,Alameda County,CA,06001
2024-02-03 15:00:00,1,Alameda County,CA,06001
2024-02-03 16:00:00,1,Alameda County,CA,06001
2024-02-03 17:00:00,1,Alameda County,CA,06001
2024-02-03 18:00:00,1,Alameda County,CA,06001
2024-02-03 19:00:00,1,Alameda County,CA,06001
2024-02-03 20:00:00,1,Alameda County,CA,06001
2024-02-03 21:00:00,11,Alameda County,CA,06001
2024-02-03 22:00:00,11,Alameda County,CA,06001
2024-02-03 23:00:00,20,Alameda County,CA,06001
2024-02-04 00:00:00,20,Alameda County,CA,06001
2024-02-04 01:00:00,77,Alameda County,CA,06001
2024-02-04 02:00:00,77,Alameda County,CA,06001
2024-02-04 03:00:00,557,Alameda County,CA,06001
2024-02-04 04:00:00,557,Alameda County,CA,06001
2024-02-04 05:00:00,323,Alameda County,CA,06001
2024-02-04 06:00:00,188,Alameda County,CA,06001
2024-02-04 07:00:00,178,Alameda County,CA,06001
2024-02-04 08:00:00,290,Alameda County,CA,06001
2024-02-04 09:00:00,69,Alameda County,CA,06001
2024-02-04 10:00:00,69,Alameda County,CA,06001
2024-02-04 11:00:00,219,Alameda County,CA,06001
2024-02-04 12:00:00,4333,Alameda County,CA,06001
2024-02-04 13:00:00,12436,Alameda County,CA,06001
2024-02-04 14:00:00,17066,Alameda County,CA,06001
2024-02-04 15:00:00,17343,Alameda County,CA,06001
2024-02-04 16:00:00,19451,Alameda County,CA,06001
2024-02-04 17:00:00,17623,Alameda County,CA,06001
2024-02-04 18:00:00,15496,Alameda County,CA,06001
2024-02-04 19:00:00,6103,Alameda County,CA,06001
2024-02-04 20:00:00,7834,Alameda County,CA,06001
2024-02-04 21:00:00,12994,Alameda County,CA,06001
2024-02-04 22:00:00,5895,Alameda County,CA,06001
2024-02-04 23:00:00,3436,Alameda County,CA,06001
2024-02-05 00:00:00,2874,Alameda County,CA,06001
2024-02-05 01:00:00,2750,Alameda County,CA,06001
2024-02-05 02:00:00,1831,Alameda County,CA,06001
2024-02-05 03:00:00,1662,Alameda County,CA,06001
2024-02-05 04:00:00,1589,Alameda County,CA,06001
2024-02-05 05:00:00,1589,Alameda County,CA,06001
2024-02-05 06:00:00,1809,Alameda County,CA,06001
2024-02-05 07:00:00,1655,Alameda County,CA,06001
2024-02-05 08:00:00,1655,Alameda County,CA,06001
2024-02-05 09:00:00,1655,Alameda County,CA,06001
2024-02-05 10:00:00,1655,Alameda County,CA,06001
2024-02-05 11:00:00,1589,Alameda County,CA,06001
2024-02-05 12:00:00,1575,Alameda County,CA,06001
2024-02-05 13:00:00,1559,Alameda County,CA,06001
2024-02-05 14:00:00,1178,Alameda County,CA,06001
2024-02-05 15:00:00,1074,Alameda County,CA,06001
2024-02-05 16:00:00,987,Alameda County,CA,06001
2024-02-05 17:00:00,598,Alameda County,CA,06001
2024-02-05 18:00:00,606,Alameda County,CA,06001
2024-02-05 19:00:00,481,Alameda County,CA,06001
2024-02-05 20:00:00,493,Alameda County,CA,06001
2024-02-05 21:00:00,373,Alameda County,CA,06001
2024-02-05 22:00:00,373,Alameda County,CA,06001
2024-02-05 23:00:00,336,Alameda County,CA,06001
2024-02-06 00:00:00,261,Alameda County,CA,06001
2024-02-06 01:00:00,195,Alameda County,CA,06001
2024-02-06 02:00:00,160,Alameda County,CA,06001
2024-02-06 03:00:00,67,Alameda County,CA,06001
2024-02-06 04:00:00,67,Alameda County,CA,06001
